game_id,developer_id
hokutonoken,87
bladeeagle,87
bonanzabros,119
bonkerswaxup,4
bubblebobble,133
buggyrun,116
californiagames,87
californiagames2,81
captainsilver,95
casteloratimbum,134
castleofillusion8bit,87
championsofeurope,136
ghosthouse,87
cheesecatastrophessg,19
choplifter,87
chuckrock,27
chuckrock2soc,27
chuukataisen,77
columns,87
borgman,87
daffyduckinhollywood,81
danantjf,170
deadangle,107
deepducktroublesdd,12
desertspeedtrapsrrawec,81
dicktracy,17
doubledragon,10
drrobotnikmeanbeanmachine,23
dragoncrystaltnm,106
dynamiteduke,122
dynamitedux,173
dynamiteheaddy,66
eswat,125
earthwormjim,38
eccothedolphin,73
eccottot,73
enduroracer,87
f16ff,103
f1,144
opaopa,170
fantasyzone2oonn,87
feriasfrustradasdopicapau,134
fifainternationalsoccer,155
fireandice,40
lostworlds,123
glocairbattle,119
gainground,122
galaxyforce,87
californiagames,110
gameboxseriecorridas,87
gameboxserieesportes,87
gameboxserielutas,87
gangstertown,87
gangstertown,87
gauntlet,153
heavyweightchamp,116
teddyboyblues,109
ghosthouse,87
ghostbusters,23
daimakaimura,90
daimakaimura,90
sdi,87
goldenaxe,87
goldenaxewarrior,87
golfamania,122
maougolvellius,93
gprider,157
greatbasketball,87
greatvolleyball,87
heavyweightchamp,125
heroesofthelance,158
impossiblemission,161
indianajonesandthelastcrusadetag,156
indianajonesandthelastcrusadetag,156
jamesbond007td,35
jamespond2codenamerobocod,65
joemontanafootball8bit,17
jurassicparksega8bit,87
kenseiden,87
rattrap,14
makairetsuden,87
landofillusionsmm,87
legendofillusionsmm,11
lemmings,81
lineoffire,125
lordofsword,87
marksmanshootingtrapshooting,87
masterofdarkness,116
mastersofcombat,116
mazewalker,87
senjounoookami2,149
michaeljacksonsmoonwalker,90
globalgladiators,166
mickeysultimatechallenge,168
hajatofuuin,99
missiledefense3d,87
superwonderboymw,114
mortalkombat,82
mortalkombat2,81
mortalkombat3,128
mspacman,143
seishunscandal,94
ninjagaiden,116
olympicgold,149
winterolympicgames,149
operationwolf,133
outrun,87
outrun,87
outrun3d,87
outruneuropa,83
paperboy,149
phantasystar,87
phantasystar,87
pitfighter,145
populous,18
poseidonwars3d,87
aleste,23
powerstrike2,23
predator2,141
princeofpersia,147
dumpmatsumoto,87
psychicworld,117
psychofox,162
puttandputter,116
questfortheshavenyaksrhands,86
rtype,24
rcgrandprix,1
rainbowislands,49
rambo3,87
rampage,92
rastansaga,133
renegade,71
rescuemission,87
roadrash,83
robocop3,36
robocopversustheterminator,69
rocky,87
runningbattle,77
sagaia,70
makairetsuden,109
astrowarrior,109
psychofox,163
scramblespirits,90
segachess,81
segaworldtournamentgolf,87
shadowdancer,87
shadowofthebeast,138
shinobi,87
shinobi,87
shootinggallery,87
sitiodopicapauamarelo,134
slapshot,122
sonicthehedgehog8bit,6
sonicthehedgehog28bit,12
sonicandtails,12
sonicspinball,89
sonicblast,11
spaceharrier3d,87
kujakuou,87
spidermanvsthekingpin8bit,111
spidermanrotss,15
spyvsspy,98
starwars,149
streetfighter2,135
stretsofrage,7
streetsofrage2,56
striderhiryuu,154
strider2usg,149
submarineattack,87
summergames,174
worldcupitalia90,109
superkickoff,151
supermonacogp,87
tennisace,122
supermantmos,41
tazmania8bit,139
tazinescapefrommars,4
teddyboyblues,87
thecybershinobi,87
theflash,81
theflintstonesms,159
theincrediblecrashdummies8bit,141
theincrediblehulk,81
thejunglebook,131
thelionking,131
theluckydimecapersdd,87
ninja,87
theottifants,40
thesimpsonsbvtsm,53
thesimpsonsbvtw,8
thesmurfs,16
theterminator,83
thunderblade,87
timesoldiers,5
tomandjerrythemovie,116
astroflash,87
wonderboy3tdt,169
ultima4qota,104
ultimatesoccer,85
vigilante,91
virtuafighteranimation,11
wanted,125
whereintheworldiscarmensandiego,164
wimbledon,116
wimbledon2,116
wolfchild,28
superwonderboy,113
worldclassleaderboard,150
worldcupitalia90,87
worldcupusa94,149
worldgames,172
thecircuit,87
worldsoccer,87
wwfwrestlemaniascc,142
xmenmojoworld,105
ys,97
zaxxon3d,87
akaikoudanzillion,87
triformation,87
94superworldcupsoccer,74
agigongnyongdooly,31
alibaba,48
blockhole,176
bubblebobble,133
powerboggleboggle,126
cso,23
comicbakery,58
condori,30
cyborgz,175
dallyeorapiguwang,75
drhello,120
eiexainnova,23
eagles5,175
f1spirittwtf1,176
fatetris,39
flashpoint,175
gaegujangikkachi,44
galaxian,46
gangcheolrobocop,74
ghosthouse,87
greatgolf,87
gunsmoke,84
honggildong,21
kenseiden,87
jangpung2,74
jangpung3,74
janggunuiadeul,31
kingandballoon,68
comicalmachinegunjoe,87
mopiranger,58
msxsoccer,63
nemesis,176
nemesis2,176
newboggleboggle,62
penguinadventure,176
phantasystar,87
pooyan,45
puznic,180
roadfighter,57
samgukji3,76
seishunscandal,94
skyfighter,21
skyjaguar,44
skyjaguar,44
spyvsspy,98
streetmaster,175
suhojeonsa,74
woodypopsnbk,47
superbioman1,43
superboy1,175
superboy2,175
superboy3,175
superboy4,175
superbubblebobble,62
supercolumnstetris,44
superpenguin,115
tankbatallion,68
agigongnyongdooly,31
knightmare2tmog,58
microxevious,179
thethreedragonstory,175
totoworld3,74
wonsiin,175
xyzolog,26
11hapgamboy,87
188hap,102
188hap,102
best25,178
best39,178
best88,176
supergameworld75,102
gamechongjiphap200,58
piguwang7hap,32
zemina4in1,177
supergameworld30hap,58
supergameworld30hap,58
super75in1,102
super125in1,102
supergame45,100
supergame52,100
supergame150,100
supergame180,100
3in3a,87
3in1b,87
3in1c,87
3in1d,87
3in1e,87
