game_id,screen_title_en,screen_title_native,cover_title_en,cover_title_native,release_date
backguineryomigaeruyuushatachikakuseihenguinertensei,BackGuiner: Yomigaeru Yūsha-tachi: Kakusei-hen 「Guiner Tensei」,バックガイナー よみがえる勇者たち 覚醒編「ガイナー転生」,BackGuiner: Yomigaeru Yūsha-tachi: Kakusei-hen 「Guiner Tensei」,バックガイナー よみがえる勇者たち 覚醒編「ガイナー転生」,1998-07-30
backguineryomigaeruyuushatachihishouhenuragirinosenjou,BackGuiner: Yomigaeru Yūsha-tachi: Hishō-hen 「Uragiri no Senjō」,バックガイナー よみがえる勇者たち 飛翔編「うらぎりの戦場」,BackGuiner: Yomigaeru Yūsha-tachi: Hishō-hen 「Uragiri no Senjō」,バックガイナー よみがえる勇者たち 飛翔編「うらぎりの戦場」,1998-10-01
backguineryomigaeruyuushatachihishouhenuragirinosenjou,BackGuiner: Yomigaeru Yūsha-tachi: Hishō-hen 「Uragiri no Senjō」,バックガイナー よみがえる勇者たち 飛翔編「うらぎりの戦場」,BackGuiner: Yomigaeru Yūsha-tachi: Hishō-hen 「Uragiri no Senjō」,バックガイナー よみがえる勇者たち 飛翔編「うらぎりの戦場」,1998-10-01
bakubakuanimal,Baku Baku Animal: Sekai Shiikugakari Senshuken,ばくばくアニマル 世界飼育係選手権,Baku Baku Animal: Sekai Shiikugakari Senshuken,ばくばくアニマル 世界飼育係選手権,1995-11-10
bakubakuanimal,Baku Baku Animal: Sekai Shiikugakari Senshuken,ばくばくアニマル 世界飼育係選手権,Baku Baku Animal: Sekai Shiikugakari Senshuken,ばくばくアニマル 世界飼育係選手権,1997-04-25
bakuretsuhunter,Bakuretsu Hunter,爆れつハンター,Bakuretsu Hunter,爆れつハンター,1996-04-26
bakuretsuhunter,Bakuretsu Hunter,爆れつハンター,Bakuretsu Hunter (Omake CD),爆れつハンター (おまけCD),1996-04-26
bakuretsuhunterr,Bakuretsu Hunter R,爆れつハンターR,Bakuretsu Hunter R,爆れつハンターR,1997-08-08
bakushouallyoshimotoquizouketteisendx,Bakushō!! All Yoshimoto Quiz-ō Kettei-sen DX,爆笑!! オール吉本クイズ王決定戦DX デラックス,Bakushō!! All Yoshimoto Quiz-ō Kettei-sen DX,爆笑!! オール吉本クイズ王決定戦DX デラックス,1995-12-01
baldyland,Baldy Land,ボールディランド,Baldy Land,ボールディランド,1998-11-26
baroque,Baroque,Baroque バロック,Baroque,,1998-05-21
batmanforeverac,Batman Forever,,Batman Forever: The Arcade Game,バットマンフォーエヴァー・ジ・アーケードゲーム Batman Forever: The Arcade Game,1997-02-14
batsugun,Batsugun,,Batsugun,Batsugun バツグン,1996-10-25
battleathletessdaiundoukai,Battle Athletess Daiundōkai,Battle Athletess バトルアスリーテス 大運動会,Battle Athletess Daiundōkai,Battle Athletess バトルアスリーテス 大運動会,1996-12-13
battlegaregga,Battle Garegga,,Battle Garegga,Battle Garegga バトルガレッガ,1998-02-26
battlemonsters,Battle Monsters,,Battle Monsters,Battle Monsters バトルモンスターズ,1995-06-02
beachdereach,Beach de Reach!,海辺でリーチ!,Beach de Reach!,海辺でリーチ!,1998-08-20
bigichigekipachislodaikouryakuuniversalmuseum,Big Ichigeki! PachiSlo Daikōryaku: Universal Museum,ビッグ一撃! パチスロ大攻略 ユニバーサル・ミュージアム,Big Ichigeki! PachiSlo Daikōryaku: Universal Museum,ビッグ一撃! パチスロ大攻略 ユニバーサル・ミュージアム,1996-06-14
bigichigekipachislodaikouryakuuniversalmuseum,Big Ichigeki! PachiSlo Daikōryaku: Universal Museum,ビッグ一撃! パチスロ大攻略 ユニバーサル・ミュージアム,Big Ichigeki! PachiSlo Daikōryaku: Universal Museum,ビッグ一撃! パチスロ大攻略 ユニバーサル・ミュージアム,
bigthankssuperkeirindreamwithkeirin50years,Big Thanks: Super Keirin: Dream with Keirin 50 Years,,Big Thanks: Super Keirin: Dream with Keirin 50 Years,,1998
biohazard,Bio Hazard,,Bio Hazard,Bio Hazard バイオ ハザード,1997-07-25
bishoujohanafudakikoumichinokuhitoukoimonogatarispecial,Bishōjo Hanafuda Kikō: Michinoku Hitō Koi Monogatari Special,美少女花札紀行 みちのく秘湯恋物語 Michinoku Hitou Koi Monogatari Special,Bishōjo Hanafuda Kikō: Michinoku Hitō Koi Monogatari Special,美少女花札紀行 みちのく秘湯恋物語 Michinoku Hitou Koi Monogatari Special,1997-12-11
bishoujosenshisailormoonsuperszeninsankashuyakusoudatsusen,Bishōjo Senshi Sailor Moon SuperS: Various Emotion,美少女戦士セーラームーンSuperS Various Emotion,Bishōjo Senshi Sailor Moon SuperS: Various Emotion,美少女戦士セーラームーンSuperS Various Emotion,1996-11-29
bishoujovarietygamerapyuluspanic,Bishōjo Variety Game: Rapyulus Panic,美少女バラエティゲーム ラピュラスパニック,Bishōjo Variety Game: Rapyulus Panic,美少女バラエティゲーム ラピュラスパニック,1996-04-26
blackdawn,Black Dawn,,Black Dawn,,1997-04-25
blackmatrix,Black/Matrix,,Black/Matrix,Black/Matrix ブラック マトリクス,1998-08-27
blackmatrix,Black/Matrix,,Black/Matrix,Black/Matrix ブラック マトリクス,1998-11-06
blackmatrix,Black/Matrix,,Black/Matrix,Black/Matrix ブラック マトリクス,1999-09-02
blackfire,Black Fire,,Black Fire,Black Fire ブラックファイアー,1995-12-22
blammachinehead,Blam Machinehead,,Blam! Machinehead,,1997-05-23
blastwind,Blast Wind,,Blast Wind,Blast Wind ブラストウインド,1997-01-17
loaded,Blood Factory,Blood Factory ブラッドファクトリー,Blood Factory,Blood Factory ブラッドファクトリー,1996-11-29
bluebreakerkenyorimohohoemiwo,Blue Breaker: Ken yori mo Hohoemi wo,Blue Breaker ブルーブレイカー 剣よりも微笑みを,Blue Breaker: Ken yori mo Hohoemi wo,Blue Breaker ブルーブレイカー 剣よりも微笑みを,1997-11-27
blueseedkushinadahirokuden,Blue Seed: Kushinada Hirokuden,Blue Seed ブルーシード 奇稲田秘録伝,Blue Seed: Kushinada Hirokuden,Blue Seed ブルーシード 奇稲田秘録伝,1995-06-23
bodyspecial264girlsinmotionpuzzlevol2,Body Special 264: Girls in Motion Puzzle Vol.2,,Body Special 264: Girls in Motion Puzzle Vol.2,,1996-08-02
bombermanwars,Bomberman Wars,,Bomberman Wars,Bomberman Wars ボンバーマンウォーズ,1998-04-16
boukenkatsugekimonomono,Bōken Katsugeki Monomono,冒険活劇モノモノ,Bōken Katsugeki Monomono,冒険活劇モノモノ,1997-07-24
brainbattleq,Brain Battle Q,,Brain Battle Q,Brain Battle Q ブレインバトルQ,1996-03-15
braindead13,Brain Dead 13,,Brain Dead 13,,1996-10-10
breakpoint,Break Point,Break Point ブレイクポイント,Break Point,Break Point ブレイクポイント,1997-06-27
breakthruzoo,BreakThru!,,BreakThru!,BreakThru! ブレイク スルー,1995-09-22
bubblesymphony,Bubble Symphony,Bubble Symphony バブルシンフォニー,Bubble Symphony,Bubble Symphony バブルシンフォニー,1997-11-27
bug,Bug! Jump Shite‚ Funzukechatte‚ Petchanko,Bug! ジャンプして、ふんづけちゃって、ぺっちゃんこ,Bug! Jump Shite‚ Funzukechatte‚ Petchanko,Bug! バグ! ジャンプして、ふんづけちゃって、ぺっちゃんこ,1995-12-08
bugtoo,Bug Too! Motto Motto Jump Shite‚ Funzukechatte‚ Petchanko,Bug Too! もっともっとジャンプして、ふんづけちゃって、ぺっちゃんこ,Bug Too! Motto Motto Jump Shite‚ Funzukechatte‚ Petchanko,Bug Too! バグ・トゥー! もっともっとジャンプして、ふんづけちゃって、ぺっちゃんこ Jump'em Stomp'em Squash'em,1997-01-31
bulkslash,Bulk Slash,,Bulk Slash,Bulk Slash バルク スラッシュ,1997-07-11
bulkslash,Bulk Slash,,Bulk Slash,Bulk Slash バルク スラッシュ,1998-08-20
