game_id,publisher_id
thenewzealandstory,160
theooze,126
storyofthorhikariwotsugumono,126
thesupershinobi,126
thesupershinobi2,126
thunderforce2,165
thunderforce3,165
thunderforce4,165
thunderfox,160
thunderprowrestlingretsuden,70
socket,183
toddsadventuresinslimeworld,97
toejamandearl,126
tomandjerryfranticantics,12
topprogolf,143
topprogolf2,143
tougioukingcolossus,126
truelies,5
tatsujin,126
twinkletale,191
uchuusenkangomora,181
ultraman,93
undeadline,114
teamusabasketball,50
valis3,123
vampirekiller,86
vermilion,126
verytex,14
virtuaracing,126
virtualbart,5
vixen357,95
volfied,160
vfive,168
berlinnokabe,81
wardnernomori,190
whiprushwakuseivoltegasnonazo,126
wimbledon,126
wonderboy3monsterlair,126
wonderboy5monsterworld3,126
wonderlibrary,187
wondermidi,186
worldcupsoccer,126
worldcupsoccer,126
worldofillusion,126
worldofillusion,126
wrestlewar,126
wrestleball,106
wwfraw,5
wwfroyalrumble,5
xdr,180
ys3,125
yuuyuuhakushomakyoutoitsusen,126
yuuyuuhakushogaiden,126
zanyashaenbukyoku,196
zerowing,173
zoom,126
3ninjaskickback,119
688attacksub,126
6pak,126
adinosaurstale,64
aaahhrealmonsters,185
m1abramsbattletank,126
aerotheacrobat,153
aerotheacrobat2,153
airmanagementoozoranikakeru,85
airmanagement2koukuuouwomezase,85
afterburner2,126
airbuster,81
airdiver,139
almichaelsannounceshardball3,9
aladdin,126
alexkiddtenkuumajou,126
alien3,13
alienstorm,126
alisiadragoon,57
juuouki,126
americangladiators,58
andreagassitennis,163
animaniacs,86
arcadeclassics,126
archrivals,55
arcusodyssey,124
arielthelittlemermaid,126
ozakinaomichisupermasters,126
ozakinaomichisupermasters,126
arrowflash,124
artalive,126
ryuukonoken,126
asterixandthegreatrescue,126
atomicrobokid,177
atomicrunnerchelnov,36
atptourchampionshiptennis,126
awesomepossumkicksdrmachinosbutt,168
ayrtonsennassupermonacogp2,126
bob,49
backtothefuture3,13
ballz,9
barbiesupermodel,64
barbiesupermodel,94
barkleyshutupandjam,9
barkleyshutupandjam2,9
barneyshideandseekgame,126
bassmastersclassic,22
bassmastersclassicproedition,22
batmanreturnofthejoker,153
batmanmd,153
batmanforever,5
batmanreturns,126
battlesquadron,49
battlemaster,13
mechwarrior3050,51
battletoads,176
battletoads,176
battletoadsdoubledragon,176
shadowofthebeast,49
shadowofthebeast2,49
beastwarriors,124
beautyandthebeastbellesquest,153
beautyandthebeastroarofthebeast,153
beavisandbutthead,185
bestofthebestchampionshipkarate,48
storyofthorhikariwotsugumono,126
bibleadventures,195
billwalshcollegefootball,49
billwalshcollegefootball95,49
biminirun,111
cryingaseimeisensou,126
bladesofvengeance,49
blastermaster2,153
blockbusterworldvideogamechampionship2,6
blockout,49
domineoterritorio,15
bonanzabros,126
bonkers,126
boogermanapickandflickadventure,76
corridadetampinhas,15
boxinglegendsofthering,48
bramstokersdracula,146
bretthullhockey95,9
brutalpawsoffury,58
bubbanstix,34
bubbleandsqueak,153
bubsyinclawsencountersofthefurredkind,9
bubsy2,9
buckrogers,49
budokanthemartialspirit,49
bugsbunnyyindoubletrouble,126
bullsvsblazersandthenbaplayoffs,49
bullsvslakersandthenbaplayoffs,49
burningforce,105
cadash,160
caesarspalace,189
calripkenjrbaseball,102
cal50,96
californiagames,126
captainamericaandtheavengers,36
castleofillusionfushiginooshirodaibouken,126
vampirekiller,86
centuriondefenderofrome,49
chakantheforeverman,126
championsworldclasssoccer,55
boogiewoogiebowling,96
championshippool,102
rcproam,176
rcproam,100
superhq,160
chestercheetahtoocooltofool,81
chestercheetahwildwildquest,81
topprogolf2,189
chikichikiboys,126
chuckrock,189
chuckrock2soc,189
clayfighter,76
cliffhanger,146
clue,115
coachkcollegebasketball,49
collegefootballusa96,49
collegefootballusa97,49
collegefootballsnationalchampionship,126
collegefootballsnationalchampionship2,126
collegeslam,5
columns,126
columns,126
columns3,183
combatcars,9
comixzone,126
contrathehardcorps,86
coolspot,189
linusspaceheadscosmiccrusade,32
crackdown,133
superairwolf,87
crueball,49
shinsousekiragnacenty,16
crystalsponytale,126
cutthroatisland,5
cyberpoliceeswat,126
cyberball,126
corporation,189
cyborgjustice,126
darkcastle,49
dashindesperadoes,36
davidcranesamazingtennis,4
davidrobinsonssupremecourt,126
tenniscup,168
powerathlete,81
deathduel,120
magicalhatnobuttobiturbodaibouken,126
demolitionman,5
desertdemolition,126
desertdemolition,126
desertstrike,49
badomen,133
dicktracy,126
dickvitalesawesomebabycollegehoops,171
dinoland,124
dinosaursforhire,126
earthdefense,121
djboy,81
doomtroopers,116
doubledragon,17
doubledragon3therosettastone,55
doubledragon5theshadowfalls,176
hyperdunk,86
puyopuyo,126
dragonthebruceleestory,5
devilcrash,168
dragonsrevenge,168
dunethebattleforarrakis,189
dungeonsanddragonswarriorsoftheeternalsun,126
dynamiteduke,126
dynamiteheaddy,126
earnestevans,124
earthwormjim,116
earthwormjim2,116
eccothedolphin,126
eccothetidesoftime,126
eccothetidesoftime,126
eccojr,126
elviento,124
elementalmaster,124
tazinescapefrommars,126
tazinescapefrommars,126
espnbaseballtonight,146
espnnationalhockeynight,146
espnspeedworld,146
espnsundaynightnfl,146
eternalchampions,126
eternalchampions,126
evanderholyfieldsrealdealboxing,126
exiletokinohazamae,124
exiletokinohazamae,124
exmutants,126
exosquad,116
exodus,195
f1,44
f117nightstorm,49
f15strikeeagle2,98
f22interceptoradvancedtacticalfighter,49
f22interceptoradvancedtacticalfighter,94
f22interceptoradvancedtacticalfighter,49
familyfeud,58
fantasia,126
fantasia,126
fantasia,126
fantasticdizzy,32
garoudensetsusnt,161
garoudensetsu2at,161
shinomeikyuu,126
fatalrewind,49
nakajimasatorukanshuuf1heromd,55
fifa94,49
fifa95,49
fifa96,49
fifa97,49
fightingmasters,1
fzsenkiaxis,124
samesamesame,45
flashback,179
flicky,126
foremanforreal,5
lostworlds,126
frankthomasbighurtbaseball,5
frogger,94
frogger,94
funngames,176
funnyworldballoonboy,121
glocairbattle,126
gaiares,124
gainground,124
leander,49
galaxyforce2,126
gamegenie,32
garfieldcaughtintheact,126
gargoyles,23
superbattletank,4
gauntlet,168
royalblood,85
