game_id,screen_title_en,screen_title_native,cover_title_en,cover_title_native,release_date
wakuseikoukitailittlecats,Wakusei Kōkitai: Little Cats,惑星攻機隊りとるキャッツ,Wakusei Kōkitai: Little Cats,惑星攻機隊りとるキャッツ,1997-07-04
queenofqueens,Zen Nihon Joshi Pro Wres: Queen of Queens (Zenjo vs Zenjo Hen),全日本女子プロレス Queen of Queens (全女vs全女編),Zen Nihon Joshi Pro Wres: Queen of Queens,全日本女子プロレス Queen of Queens クイーンオブクイーンズ,1995-03-24
queenofqueens,Zen Nihon Joshi Pro Wres: Queen of Queens (Zenjo vs KWP Hen),全日本女子プロレス Queen of Queens (全女vsKWP編),Zen Nihon Joshi Pro Wres: Queen of Queens,全日本女子プロレス Queen of Queens クイーンオブクイーンズ,1995-03-24
zokuhatsukoimonogatarishuugakuryokou,Zoku Hatsukoi Monogatari: Shūgaku Ryokō,続 初恋物語 修学旅行,Zoku Hatsukoi Monogatari: Shūgaku Ryokō,続 初恋物語 修学旅行,1996-06-06
zokuhatsukoimonogatarishuugakuryokou,Zoku Hatsukoi Monogatari: Shūgaku Ryokō,続 初恋物語 修学旅行,Zoku Hatsukoi Monogatari: Shūgaku Ryokō,続 初恋物語 修学旅行,1996-06-06
animefreakfxvol1,AnimeFreak FX Vol.1,アニメフリークFX AnimeFreak FX Vol.1,AnimeFreak FX Vol.1,アニメフリークFX AnimeFreak FX Vol.1,1995-08-12
animefreakfxvol2,AnimeFreak FX Vol.2,アニメフリークFX AnimeFreak FX Vol.2,AnimeFreak FX Vol.2,アニメフリークFX AnimeFreak FX Vol.2,1995-12-22
animefreakfxvol3,AnimeFreak FX Vol.3,アニメフリークFX AnimeFreak FX Vol.3,AnimeFreak FX Vol.3,アニメフリークFX AnimeFreak FX Vol.3,1996-04-05
animefreakfxvol4,AnimeFreak FX Vol.4,アニメフリークFX AnimeFreak FX Vol.4,AnimeFreak FX Vol.4,アニメフリークFX AnimeFreak FX Vol.4,1999-02-28
animefreakfxvol5,AnimeFreak FX Vol.5,アニメフリークFX AnimeFreak FX Vol.5,AnimeFreak FX Vol.5,アニメフリークFX AnimeFreak FX Vol.5,1997-08-29
animefreakfxvol5,AnimeFreak FX Vol.5,アニメフリークFX AnimeFreak FX Vol.5,AnimeFreak FX Vol.5,アニメフリークFX AnimeFreak FX Vol.5,1997-08-29
animefreakfxvol6,AnimeFreak FX Vol.6,アニメフリークFX AnimeFreak FX Vol.6,AnimeFreak FX Vol.6,アニメフリークFX AnimeFreak FX Vol.6,1998-02-27
animefreakfxvol6,AnimeFreak FX Vol.6,アニメフリークFX AnimeFreak FX Vol.6,AnimeFreak FX Vol.6,アニメフリークFX AnimeFreak FX Vol.6,1998-02-27
gingaojousamadensetsuyunafxkns,Ginga Ojōsama Densetsu Yuna FX: Kanashimi no Siren,銀河お嬢様伝説 Galaxy Fraulein ユナ♥ FX 哀しみのセイレーン,Ginga Ojōsama Densetsu Yuna FX: Kanashimi no Siren,銀河お嬢様伝説 Galaxy Fraulein ユナ♥ FX 哀しみのセイレーン,
pcenginefanspecialcdrom2,PC Engine Fan: Special CD-ROM Vol. 2,,PC Engine Fan: Special CD-ROM Vol. 2,,1996-09
pcenginefanspecialcdrom3,PC Engine Fan: Special CD-ROM Vol. 3,,PC Engine Fan: Special CD-ROM Vol. 3,,1996-10
superpcenginefandeluxespecialcdrom1,Super PC Engine Fan Deluxe: Special CD-ROM Vol.1,,Super PC Engine Fan Deluxe: Special CD-ROM Vol.1,,1997
superpcenginefandeluxespecialcdrom2,Super PC Engine Fan Deluxe: Special CD-ROM Vol.2,,Super PC Engine Fan Deluxe: Special CD-ROM Vol.2,,1997-03-01
